Date,Open,High,Low,Close,Adj Close,Volume
2018-11-16,48.759998,50.400002,48.119999,49.650002,49.565430,16790600
2018-11-19,48.919998,49.150002,44.400002,44.889999,44.813538,23311500
2018-11-20,41.720001,44.240002,40.700001,42.400002,42.327778,25373900
2018-11-21,44.029999,44.619999,43.119999,43.349998,43.276157,14389400
2018-11-23,42.279999,43.720001,42.250000,42.389999,42.317795,7110000
2018-11-26,44.180000,45.380001,43.619999,45.299999,45.222836,14995600
2018-11-27,44.619999,46.119999,43.889999,45.770000,45.692036,15020400
2018-11-28,46.799999,50.160000,46.000000,50.110001,50.024647,24383100
2018-11-29,49.520000,50.669998,48.480000,49.650002,49.565430,16130600
2018-11-30,49.840000,50.840000,49.130001,50.689999,50.603653,14579400
2018-12-03,54.080002,54.299999,52.250000,53.290001,53.199230,18667900
2018-12-04,52.549999,52.990002,47.070000,47.430000,47.349209,26262000
2018-12-06,44.410000,48.220001,43.830002,48.119999,48.038033,24519500
2018-12-07,47.599998,48.419998,43.000000,43.410000,43.336056,27873400
2018-12-10,43.160000,45.360001,41.820000,44.770000,44.693741,22058600
2018-12-11,46.930000,47.000000,44.090000,45.250000,45.172920,21520400
2018-12-12,47.220001,48.529999,46.369999,46.389999,46.310978,21181400
2018-12-13,47.299999,47.889999,45.520000,46.400002,46.320965,20590600
2018-12-14,44.889999,45.330002,42.709999,42.900002,42.826923,19522200
2018-12-17,42.470001,43.490002,39.090000,40.130001,40.061646,25074100
2018-12-18,41.080002,42.009998,39.770000,40.799999,40.730499,19736700
2018-12-19,40.709999,42.590000,36.880001,37.849998,37.785526,38482800
2018-12-20,37.470001,38.779999,34.730000,36.330002,36.268116,40102300
2018-12-21,36.650002,37.410000,32.209999,32.820000,32.764091,46129300
2018-12-24,32.000000,33.290001,30.320000,30.389999,30.338234,21950100
2018-12-26,31.299999,35.939999,30.639999,35.860001,35.847282,47279400
2018-12-27,34.599998,36.400002,32.119999,36.369999,36.357098,42729300
2018-12-28,37.000000,38.110001,35.369999,36.220001,36.207153,38105300
2018-12-31,37.360001,37.680000,36.049999,37.040001,37.026863,27120800
2019-01-02,34.779999,38.230000,34.730000,37.570000,37.556675,33958200
2019-01-03,35.980000,36.410000,33.630001,33.930000,33.917965,41219500
2019-01-04,35.549999,38.759998,35.169998,38.270000,38.256424,34120500
2019-01-07,38.470001,40.150002,38.130001,39.490002,39.475994,26638300
2019-01-08,40.689999,41.110001,38.900002,40.630001,40.615589,26452800
2019-01-09,41.119999,42.169998,40.599998,41.590000,41.575249,22262300
2019-01-10,40.639999,42.029999,39.959999,41.990002,41.975109,21891400
2019-01-11,41.240002,41.630001,40.810001,41.490002,41.475285,15100600
2019-01-14,40.430000,40.939999,39.860001,40.410000,40.395668,13922900
2019-01-15,40.939999,42.919998,40.860001,42.650002,42.634872,18140700
2019-01-16,42.970001,43.860001,42.680000,42.709999,42.694851,16986600
2019-01-17,42.299999,44.270000,42.060001,43.709999,43.694496,17755000
2019-01-18,44.720001,45.610001,43.849998,44.910000,44.894070,20863600
2019-01-22,44.009998,44.080002,41.320000,42.430000,42.414951,22716800
2019-01-23,42.950001,43.500000,41.020000,42.470001,42.454937,20761700
2019-01-24,42.820000,43.419998,42.340000,43.220001,43.204670,16014400
2019-01-25,44.259998,45.169998,43.820000,44.759998,44.744122,17439200
2019-01-28,43.009998,43.110001,42.009998,43.110001,43.094707,17544900
2019-01-29,43.189999,43.209999,41.430000,41.889999,41.875141,15316300
2019-01-30,43.299999,45.520000,42.889999,45.029999,45.014027,21978000
2019-01-31,45.820000,47.720001,45.680000,47.009998,46.993324,20071900
2019-02-01,46.340000,47.419998,46.060001,46.410000,46.393539,17695200
2019-02-04,46.470001,48.160000,46.340000,48.110001,48.092937,13872100
2019-02-05,48.369999,49.599998,48.299999,49.380001,49.362484,16114600
2019-02-06,49.480000,49.730000,48.320000,48.990002,48.972626,18177500
2019-02-07,47.669998,48.029999,45.889999,46.990002,46.973335,26224200
2019-02-08,45.709999,47.250000,45.599998,47.230000,47.213245,18090300
2019-02-11,47.770000,48.110001,46.759998,47.119999,47.103287,15149600
2019-02-12,48.130001,49.389999,47.889999,49.160000,49.142563,16028300
2019-02-13,49.860001,50.279999,49.119999,49.259998,49.242527,15951200
2019-02-14,48.700001,49.950001,48.220001,49.439999,49.422462,19171200
2019-02-15,50.509998,50.520000,49.360001,50.029999,50.012253,17812000
2019-02-19,49.560001,50.790001,49.560001,50.330002,50.312149,12946600
2019-02-20,50.450001,51.029999,49.490002,50.290001,50.272163,21383200
2019-02-21,49.869999,50.290001,48.930000,49.720001,49.702366,16061700
2019-02-22,50.060001,50.919998,49.970001,50.799999,50.781979,14954700
2019-02-25,52.009998,52.380001,51.259998,51.360001,51.341782,15512800
2019-02-26,50.959999,52.000000,50.720001,51.520000,51.501724,13169600
2019-02-27,50.830002,51.580002,49.790001,51.360001,51.341782,14480500
2019-02-28,50.910000,51.580002,50.599998,51.040001,51.021896,11507900
2019-03-01,52.119999,52.290001,51.020000,52.060001,52.041534,17519600
2019-03-04,52.970001,53.330002,50.349998,52.070000,52.051529,26636000
2019-03-05,52.180000,52.680000,51.419998,52.200001,52.181484,12543600
2019-03-06,52.330002,52.380001,51.060001,51.299999,51.281803,15433600
2019-03-07,50.880001,50.939999,48.830002,49.430000,49.412468,21123400
2019-03-08,47.740002,49.220001,47.560001,49.150002,49.132568,21867100
2019-03-11,49.730000,52.310001,49.730000,52.220001,52.201477,16058500
2019-03-12,52.630001,53.470001,52.250000,53.070000,53.051174,18950800
2019-03-13,53.869999,55.090000,53.660000,54.220001,54.200768,18141200
2019-03-14,54.320000,54.520000,53.900002,53.980000,53.960854,11930400
2019-03-15,54.610001,55.939999,54.459999,55.320000,55.300377,17355700
2019-03-18,55.369999,56.340000,55.040001,55.820000,55.800201,18624300
2019-03-19,56.540001,57.279999,55.689999,56.380001,56.360004,20547600
2019-03-20,56.349998,58.049999,55.590000,57.009998,57.009998,22940300
2019-03-21,56.480000,59.900002,56.450001,59.650002,59.650002,18994700
2019-03-22,58.869999,59.349998,55.540001,55.750000,55.750000,33450200
2019-03-25,55.060001,55.970001,54.180000,55.400002,55.400002,26296200
2019-03-26,56.689999,57.680000,55.310001,56.160000,56.160000,21984000
2019-03-27,56.389999,56.779999,53.849998,55.060001,55.060001,22101300
2019-03-28,55.470001,56.029999,54.430000,55.410000,55.410000,16054700
2019-03-29,56.630001,56.820000,55.680000,56.660000,56.660000,15872500
2019-04-01,58.299999,59.099998,57.700001,58.889999,58.889999,15295600
2019-04-02,59.090000,59.720001,58.630001,59.540001,59.540001,13341100
2019-04-03,60.540001,61.689999,60.009998,60.570000,60.570000,18952100
2019-04-04,60.580002,61.279999,59.430000,60.480000,60.480000,17952600
2019-04-05,61.060001,61.500000,60.779999,61.389999,61.389999,13081800
2019-04-08,61.080002,61.990002,60.360001,61.869999,61.869999,12932500
2019-04-09,61.240002,61.830002,60.799999,61.189999,61.189999,13015200
2019-04-10,61.459999,62.220001,61.230000,62.180000,62.180000,12405500
2019-04-11,62.410000,62.430000,61.360001,61.709999,61.709999,13971300
2019-04-12,62.500000,62.599998,61.730000,62.470001,62.470001,11903500
2019-04-15,62.470001,62.720001,61.259998,62.520000,62.520000,10421200
2019-04-16,63.150002,63.549999,62.590000,63.130001,63.130001,11785900
2019-04-17,64.360001,64.559998,63.209999,63.759998,63.759998,14302800
2019-04-18,64.080002,64.110001,62.869999,63.959999,63.959999,11487900
2019-04-22,63.150002,64.589996,63.000000,64.500000,64.500000,9445600
